Year,Date,Holiday
2013,2013-01-01,New Years Day
2013,2013-01-21,Martin Luther King Jr. Day
2013,2013-02-18,Presidents' Day
2013,2013-05-27,Memorial Day
2013,2013-07-04,Independence Day
2013,2013-09-02,Labor Day
2013,2013-10-14,Columbus Day
2013,2013-11-11,Veterans Day
2013,2013-11-28,Thanksgiving
2013,2013-11-29,Day after Thanksgiving
2013,2013-12-25,Christmas Day
2014,2014-01-01,New Years Day
2014,2014-01-20,Martin Luther King Jr. Day
2014,2014-02-17,Presidents' Day
2014,2014-05-26,Memorial Day
2014,2014-07-04,Independence Day
2014,2014-09-01,Labor Day
2014,2014-10-13,Columbus Day
2014,2014-11-11,Veterans Day
2014,2014-11-27,Thanksgiving
2014,2014-11-28,Day after Thanksgiving
2014,2014-12-25,Christmas Day
2014,2014-12-26,Day after Christmas
2015,2015-01-01,New Years Day
2015,2015-01-19,Martin Luther King Jr. Day
2015,2015-02-16,Presidents' Day
2015,2015-05-25,Memorial Day
2015,2015-07-03,Independence Day (observed)
2015,2015-09-07,Labor Day
2015,2015-11-11,Veterans Day
2015,2015-11-26,Thanksgiving
2015,2015-11-27,Day after Thanksgiving
2015,2015-12-25,Christmas Day
2016,2016-01-01,New Years Day
2016,2016-01-18,Martin Luther King Jr. Day
2016,2016-02-15,Presidents' Day
2016,2016-05-30,Memorial Day
2016,2016-07-04,Independence Day
2016,2016-09-05,Labor Day
2016,2016-11-11,Veterans Day
2016,2016-11-24,Thanksgiving
2016,2016-11-25,Day after Thanksgiving
2016,2016-12-26,Christmas Day (in lieu)
2017,2017-01-02,New Years Day Holiday
2017,2017-01-16,Martin Luther King Jr. Day
2017,2017-02-20,Presidents' Day
2017,2017-05-29,Memorial Day
2017,2017-07-04,Independence Day
2017,2017-09-04,Labor Day
2017,2017-11-10,Veterans Day (observed)
2017,2017-11-23,Thanksgiving
2017,2017-11-24,Day after Thanksgiving
2017,2017-12-25,Christmas Day
2018,2018-01-01,New Year's Day
2018,2018-01-15,Martin Luther King Jr. Day
2018,2018-02-19,Presidents' Day
2018,2018-05-28,Memorial Day
2018,2018-07-04,Independence Day
2018,2018-09-03,Labor Day
2018,2018-11-12,Veterans Day
2018,2018-11-22,Thanksgiving
2018,2018-11-23,Day after Thanksgiving
2018,2018-12-25,Christmas Day
